Year,Date,Era,N_tr,N_dt,H_tr,H_dt,C_bt,C_dbt,HpV_bt,HpV_dbt,CpH_bt,RN_bt,RH_bt,FIB,NotrawlZone,FishAgree,EcoRef,DouCon,FisPerReg,MarFisPol,SumMor,Agenda21,EEZ,OutCon,VesScrap,FueSub,FinCris,LawEnf
1950,1/1/1950,1,183,NA,11822.37075,NA,49240.71788,NA,64.60311885,NA,4.16504599,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1/1/1951,1,211,NA,13664.0466,NA,74231.46765,NA,64.75851469,NA,5.432612302,100,100,0.168412441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,1/1/1952,1,264,NA,15877.97545,NA,97158.50937,NA,60.1438464,NA,6.119074165,100,100,0.282250499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,1/1/1953,1,265,NA,15592.6203,NA,103503.1128,NA,58.8400766,NA,6.637955059,99.5,99.3,0.428422935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,1/1/1954,1,290,NA,17234.86827,NA,132735.5207,NA,59.43058024,NA,7.701568624,90.4,65.9,0.559775509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,1/1/1955,1,339,NA,21462.78324,NA,154034.5358,NA,63.31204496,NA,7.176820176,62.6,59.7,0.453939513,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,1/1/1956,1,372,NA,26462.80712,NA,195105.9708,NA,71.13657828,NA,7.372837277,35,47,0.545848759,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,1/1/1957,1,419,NA,31714.21528,NA,200413.6206,NA,75.69025126,NA,6.319362432,30.3,43.1,0.544357913,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,1/1/1958,1,519,NA,40173.44231,NA,231885.8388,NA,77.40547651,NA,5.772117734,38.9,46.7,0.561534762,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,1/1/1959,1,560,NA,45972.26645,NA,263300.9318,NA,82.09333295,NA,5.72738636,24.6,34.7,0.604035928,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,1/1/1960,1,656,NA,56929.80687,NA,283627.2122,NA,86.78324218,NA,4.982051192,20,29.7,0.635800992,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1/1/1961,1,720,NA,65268.19475,NA,313824.9837,NA,90.65027049,NA,4.808237533,17.9,27.3,0.662461288,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1/1/1962,1,858,NA,83092.21463,NA,351846.1572,NA,96.844073,NA,4.23440582,17.8,27.3,0.815899025,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1/1/1963,1,862,NA,89398.17502,NA,380379.9276,NA,103.7101798,NA,4.254895891,15.9,25.5,0.716962365,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,1/1/1964,1,882,NA,94168.42057,NA,408369.9225,NA,106.7669167,NA,4.336590972,14.3,23.8,0.729610293,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,1/1/1965,1,830,NA,92049.8422,NA,447182.7847,NA,110.9034243,NA,4.85805053,11.7,21,0.772899499,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,1/1/1966,1,836,NA,93422.44347,NA,473820.9562,NA,111.7493343,NA,5.071810783,9.8,19.2,0.792697985,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,1/1/1967,1,817,NA,92586.96154,NA,496572.0703,NA,113.3255343,NA,5.363304531,8.8,17.5,0.932780297,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,1/1/1968,1,818,NA,91654.89493,NA,541303.2595,NA,112.0475488,NA,5.905884895,8.1,16.6,0.839768242,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,1/1/1969,1,758,NA,89382.1648,NA,559695.469,NA,117.9184232,NA,6.261824943,6.4,14.2,0.969936874,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,1/1/1970,1,770,NA,91204.76181,NA,567027.2707,NA,118.4477426,NA,6.217079673,5.8,13.3,0.80874101,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,1/1/1971,1,846,NA,104645.3487,NA,621915.636,NA,123.6942656,NA,5.94307959,5.6,14.8,0.87039975,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,1/1/1972,1,779,NA,141373.7929,NA,790334.1862,NA,181.4811205,NA,5.590386804,4.6,15.7,1.012911441,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,1/1/1973,1,880,NA,160682.1993,NA,873245.1972,NA,182.5934083,NA,5.434610685,4.2,15.2,1.041485806,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,1/1/1974,1,948,NA,180726.4857,NA,1006226.497,NA,190.6397528,NA,5.567675889,3.9,14.7,0.970423946,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,1/1/1975,1,1059,NA,210830.4087,NA,1020254.594,NA,199.0844275,NA,4.839219353,3.8,14.9,1.1130973,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1976,1/1/1976,1,1194,NA,242925.869,NA,1154235.807,NA,203.4555017,NA,4.75139108,3.8,15.1,0.991391569,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1977,1/1/1977,1,1360,NA,278618.0054,NA,1238707.985,NA,204.8661804,NA,4.445900699,4,15.7,0.976564553,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1978,1/1/1978,1,1489,NA,300302.694,NA,1135761.873,NA,201.6807884,NA,3.78205689,3.9,15.8,1.034432072,2,1,1,0,0,0,0,0,0,0,0,0,0,0
1979,1/1/1979,2,5845,NA,367894.7983,NA,874514.5021,NA,62.94179612,NA,2.377077649,14.1,18.1,1.021080159,2,1,1,0,0,0,0,0,0,0,0,0,0,0
1980,1/1/1980,2,10202,NA,435486.9026,NA,989464.9203,NA,42.68642449,NA,2.272088815,21.1,18.7,1.056838848,3,1,1,0,0,0,0,0,0,0,0,0,0,0
1981,1/1/1981,2,14107,NA,837851.0952,NA,1008378.148,NA,59.39257781,NA,1.203529068,23.8,33.8,1.242170056,3,1,1,0,0,1,0,0,0,0,0,0,0,0
1982,1/1/1982,2,18045,NA,1212141.679,NA,1189712.376,NA,67.17327121,NA,0.981496137,23.2,44.4,1.192361795,3,1,1,0,0,1,0,0,0,0,0,0,0,0
1983,1/1/1983,2,21155,NA,1444299.333,NA,1240294.634,NA,68.27224453,NA,0.858751788,22.7,49.9,1.129489525,3,1,1,0,0,2,0,0,0,0,0,0,0,0
1984,1/1/1984,2,28146,NA,2024568.428,NA,1377069.24,NA,71.93094678,NA,0.680179154,25.7,66.4,1.273284376,3,1,1,0,0,2,0,0,0,0,0,0,0,0
1985,1/1/1985,2,32904,12,2471284.661,5292,1442237.174,326050.3896,75.10590387,441,0.583598157,25.3,71.8,1.262960808,3,1,1,0,0,3,0,0,0,0,0,0,0,0
1986,1/1/1986,2,35968,21,2948445.859,15885.5889,1837871.41,512641.4843,81.97413976,756.4566143,0.623335648,22.3,73.9,1.286147197,3,1,1,0,0,3,0,0,0,0,0,0,0,0
1987,1/1/1987,2,41211,50,3563022.783,26354.1215,2182117.763,672551.589,86.45805205,527.08243,0.612434412,21.4,77.2,1.328138351,3,1,1,0,0,3,0,0,0,0,0,0,0,0
1988,1/1/1988,2,41590,65,4128961.728,28665,2397947.341,701576.6777,99.27775254,441,0.580762792,19.5,77.2,1.341508562,3,1,1,0,0,3,0,0,0,0,0,0,0,0
1989,1/1/1989,2,44446,85,4706526.971,36323.63963,2972223.924,1101706.197,105.8931506,427.3369368,0.631511079,19.4,77.6,1.410174654,3,1,1,0,0,3,0,0,0,0,0,0,0,0
1990,1/1/1990,2,47166,120,5266280.202,59656.07181,3389710.681,1259702.374,111.6541619,497.1339318,0.643663184,19.7,80.5,1.423971871,3,1,1,0,0,3,0,0,0,0,0,0,0,0
1991,1/1/1991,2,50448,194,5767113.205,82442.18675,3916099.248,1628700.973,114.317975,424.9597255,0.679039774,21.2,82.8,1.467589835,3,1,1,0,0,3,0,0,0,0,0,0,0,0
1992,1/1/1992,2,52538,241,6210341.931,221907.35,4381690.046,1753351.662,118.2066681,920.7773859,0.70554731,22,82.6,1.520138312,3,1,2,0,0,3,0,0,0,0,0,0,0,0
1993,1/1/1993,3,55064,267,6571833.299,274291.2339,5069770.913,2144549.255,119.3489993,1027.307992,0.771439366,22.4,84.5,1.521265767,3,1,2,0,0,3,0,0,0,0,0,0,0,0
1994,1/1/1994,3,59380,305,6885008.112,387859.4178,5681309.961,2156731.144,115.9482673,1271.670222,0.825171135,23.5,86.4,1.633507991,3,1,2,0,0,3,0,1,0,0,0,0,0,0
1995,1/1/1995,3,69348,344,7317000.809,517667.3495,6883199.07,2793422.441,105.5113458,1504.846946,0.940713176,26,78.2,1.712280077,3,1,2,0,0,3,1,1,0,0,0,0,0,0
1996,1/1/1996,3,68167,383,7840354.982,578364.3751,7693244.988,2934057.761,115.0168701,1510.089752,0.98123682,25.1,76.2,1.860010962,3,1,2,0,0,3,1,2,1,0,0,0,0,0
1997,1/1/1997,3,71962,500,7981249.949,786155.9899,7301091.787,2919684.99,110.9092292,1572.31198,0.914780496,26.3,74.4,1.726959696,3,1,2,1,0,3,1,2,1,0,0,0,1,0
1998,1/1/1998,3,70516,465,8066020.164,552784.53,7904124.012,3376847.261,114.3856737,1188.783935,0.97992862,25.8,71.6,1.759490659,3,1,2,1,0,3,2,2,2,0,0,0,1,0
1999,1/1/1999,3,67038,507,7946202.078,398143.2582,7676078.244,3721001.562,118.5328035,785.2924225,0.966005919,24.9,68.3,1.685032456,3,1,2,1,0,3,3,2,2,1,0,0,1,0
2000,1/1/2000,3,60698,550,7611018.176,723746.2528,7233242.452,3512561.125,125.3915809,1315.902278,0.950364627,21.8,63.3,1.674208461,3,2,2,1,0,3,4,2,2,2,0,0,0,0
2001,1/1/2001,3,57466,594,7329995.237,645527.9031,7215930.284,3207867.463,127.553601,1086.747312,0.984438605,21.2,60.4,1.71597684,3,3,2,1,0,3,5,2,2,1,0,0,0,0
2002,1/1/2002,3,55945,639,6994521.44,639799.1306,7076834.682,3209761.231,125.0249609,1001.250596,1.011768245,21,56.2,1.699325938,3,3,2,1,0,3,5,2,2,1,1,0,0,0
2003,1/1/2003,4,43606,684,6554238,541291.6997,6890705.258,2825795.172,150.3058753,791.3621341,1.051335832,19.4,52.9,1.711697105,3,3,2,2,0,3,6,2,2,1,2,0,0,0
2004,1/1/2004,4,41326,731,6469558,541571.0259,6904149.38,3204704.442,156.5493394,740.8632365,1.067174818,18.8,52.4,1.811479081,3,4,2,2,1,3,6,2,2,1,2,0,0,0
2005,1/1/2005,4,41336,779,6545233,557809.3692,7026162.561,3454873.265,158.3421957,716.0582403,1.073477837,19.3,52.9,1.71376793,3,4,2,2,1,3,6,2,2,1,2,0,0,0
2006,1/1/2006,4,39196,827,6509344,517623.3166,7088471.806,3482350.777,166.07164,625.9048568,1.08896869,18.5,52.4,1.757739391,3,4,2,2,1,4,7,2,2,1,2,1,0,1
2007,1/1/2007,4,37862,786,6679697,516004.6899,6881754.973,3459145.313,176.4221911,656.4945164,1.030249572,18.2,53,1.719363902,3,4,2,2,1,4,7,2,2,1,2,1,2,2
2008,1/1/2008,4,35144,927,6743376,578798.4992,6914352.765,3483837.391,191.878443,624.3781005,1.025354773,17.6,52.1,1.779131563,3,4,2,2,1,4,7,2,2,1,2,1,2,2
2009,1/1/2009,4,33904,978,6730056,606736.3007,6866427.959,2712012.705,198.5033034,620.3847655,1.020263124,16.4,51.5,1.825995042,3,4,2,2,1,4,8,2,2,1,2,1,0,3
2010,1/1/2010,4,32450,1030,6568178,540124.8488,7016828.561,2837239.975,202.4091834,524.3930571,1.0683067,15.9,50.4,1.825183334,3,4,2,2,1,4,8,2,2,1,2,2,0,4
2011,1/1/2011,4,31534,1082,6558348,570455.1732,7119602.47,3388076.936,207.9770407,527.2228957,1.085578635,15.6,49.5,1.837430039,3,4,2,2,1,4,8,2,2,1,2,2,0,5
2012,1/1/2012,4,36627,1135,6696703,566473.1054,6862201.022,3155019.073,182.8351489,499.095247,1.024713358,18.9,50.5,1.822292337,3,4,2,2,1,4,8,2,2,1,2,2,0,5
2013,1/1/2013,5,31600,1189,6670275,731865.1424,7159223.957,3467115.921,211.0846519,615.5299768,1.073302668,16.1,49,1.822476552,3,4,2,2,2,5,8,2,2,1,2,2,0,5
2014,1/1/2014,5,31029,1242,6650273,876864.5339,9986901.174,5321265.802,214.3244384,706.0100917,1.501728,16.2,47.2,1.909636568,3,4,2,2,2,5,8,2,2,1,2,2,0,6
2015,1/1/2015,5,30805,1297,6804001,1055489.527,,,220.8732673,813.7930046,,16.5,47.2,,3,4,2,2,2,5,8,2,2,1,3,3,0,
2016,1/1/2016,5,29361,1351,6591522,1061382.209,,,224.4992337,785.6270977,,16.3,46.1,,3,4,2,2,2,5,8,2,2,1,3,3,0,
2017,1/1/2017,5,27036,1406,6255340,1177747.849,,,231.3707649,837.6584986,,16.3,45.4,,3,4,2,3,2,5,,2,2,1,3,3,0,
2018,1/1/2018,5,28364,1500,6063716,1161750.569,,,213.7821182,774.5003793,,18.5,55.3,,3,4,2,3,2,5,,2,2,1,3,3,0,
